Name,Phone Number,Email,Address,Country,Postal code,Last date of connection,Last time of connection,Age,Gender,Customer spendings
Aaron Cote,966-7625,elit@hotmail.org,699-5837 Risus Street,Norway,4126,"Apr 5, 2021",4:39 AM,71,Man,356
Angelica Lawson,232-3051,diam.proin@google.org,481-8428 Magna. Street,Pakistan,518885,"Oct 10, 2021",12:36 AM,37,Women,173
Louis Gilbert,1-997-733-0134,lorem.fringilla@hotmail.org,Ap #192-2082 Enim. Ave,Colombia,575444,"Jul 2, 2022",3:37 AM,24,Women,105
Basia Finley,1-987-322-7148,tristique.aliquet@icloud.co,608-2732 Nec Rd.,South Africa,5973-5765,"Feb 19, 2022",2:34 AM,37,Women,28
Rhona Sears,387-7682,iaculis.odio.nam@protonmail.org,8763 In Rd.,France,37476,"Mar 31, 2022",6:28 AM,42,Women,13
Oliver Christensen,1-260-552-1780,aliquam.iaculis.lacus@yahoo.net,Ap #640-1456 Ante Rd.,Belgium,1258,"Jan 25, 2021",10:38 AM,40,Women,380
Rooney Wilcox,1-738-376-1733,malesuada.vel@icloud.co,Ap #826-4894 Mi Rd.,Belgium,5164,"May 29, 2021",6:55 AM,47,Man,79
Jakeem Chaney,377-6229,lacinia.at@aol.co,Ap #730-9438 Quisque St.,Canada,B5G 6T7,"Apr 23, 2022",5:24 PM,46,Women,336
Nehru Swanson,394-9459,eu.eros@google.com,5252 Eu Road,Indonesia,21746,"Aug 6, 2022",12:19 PM,58,Man,401
Mufutau Bernard,1-497-157-1583,molestie@hotmail.com,"P.O. Box 533, 8658 Donec Ave",Indonesia,55945,"Dec 17, 2021",11:28 PM,41,Man,438
Dennis Delacruz,933-5315,elit.pretium@google.net,712-9708 Lorem Av.,South Africa,5057-1414,"Jul 28, 2022",5:23 AM,30,Man,59
Evangeline Le,1-864-586-2558,mauris@protonmail.co,Ap #189-7403 Et St.,Brazil,68380-741,"Jan 6, 2021",12:11 PM,27,Women,586
Tara Avila,608-1117,turpis.nec@yahoo.com,Ap #988-453 Donec Street,Italy,14537,"Dec 29, 2021",2:19 AM,63,Man,491
Uriah Kline,1-633-403-8328,amet.metus.aliquam@icloud.org,"Ap #458-7405 Lorem, St.",Australia,8314,"Feb 19, 2021",1:14 PM,28,Women,141
Carter Wagner,216-9626,lorem.sit@outlook.co,398-1102 Pretium Road,Turkey,76544,"Feb 8, 2022",3:23 AM,68,Women,524
Amos Blake,827-0842,risus.duis@icloud.co,5372 Egestas. Ave,Nigeria,752482,"Jun 24, 2022",9:16 AM,74,Man,258
Elaine Myers,1-256-494-7183,ornare.elit@icloud.co,"P.O. Box 741, 9930 Magna St.",France,64790,"Jan 6, 2022",1:42 AM,47,Man,477
Carter Holloway,1-337-460-5916,tempor.diam@hotmail.co,Ap #280-1125 Condimentum. Av.,Pakistan,443285,"Dec 14, 2021",3:19 AM,51,Man,585
Marshall Quinn,367-1163,hendrerit@aol.com,Ap #840-178 Fusce St.,Germany,58034,"Nov 22, 2022",2:33 AM,57,Women,32
Duncan Matthews,333-7587,augue@yahoo.com,Ap #154-6852 Felis Avenue,United States,25259,"Jun 18, 2023",6:23 AM,60,Man,379
Charity Smith,942-8431,cursus.et@google.co,Ap #887-7307 Habitant Ave,Mexico,73927-02346,"Apr 10, 2021",3:39 AM,25,Man,82
Jesse Valdez,475-6761,duis.volutpat@google.co,"Ap #238-7297 Eleifend, Rd.",Netherlands,5534 KF,"May 26, 2021",9:22 AM,52,Women,30
Yoshio Olson,1-376-683-9759,quis.urna@icloud.net,753-2393 Arcu. Avenue,Norway,2774,"Oct 25, 2022",4:18 PM,44,Women,125
Jordan Combs,1-821-227-6311,lacinia.vitae@yahoo.net,172-3549 Et St.,Poland,98-769,"Jan 11, 2021",3:35 AM,24,Women,349
